ID	Notes	Scaffold	sgRNA1_ID	Gene1	sgRNA2_ID	Gene2	sgRNA1_Class	sgRNA2_Class	vector_class
DG0000023	GIpairs	Wildtype	903911503	ARID1A	1167699490	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000024	GIpairs	Wildtype	903911503	ARID1A	1058273241	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000025	GIpairs	Wildtype	903911503	ARID1A	979584041	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000026	GIpairs	Wildtype	903911503	ARID1A	1058273326	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000027	GIpairs	Wildtype	903911503	ARID1A	1167699476	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000028	GIpairs	Wildtype	903911503	ARID1A	979582957	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000029	GIpairs	Wildtype	903907422	ARID1A	1167699490	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000030	GIpairs	Wildtype	903907422	ARID1A	1058273241	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000031	GIpairs	Wildtype	903907422	ARID1A	979584041	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000032	GIpairs	Wildtype	903907422	ARID1A	1058273326	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000033	GIpairs	Wildtype	903907422	ARID1A	1167699476	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000034	GIpairs	Wildtype	903907422	ARID1A	979582957	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000035	GIpairs	Wildtype	903911478	ARID1A	1167699490	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000036	GIpairs	Wildtype	903911478	ARID1A	1058273241	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000037	GIpairs	Wildtype	903911478	ARID1A	979584041	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000038	GIpairs	Wildtype	903911478	ARID1A	1058273326	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000039	GIpairs	Wildtype	903911478	ARID1A	1167699476	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000040	GIpairs	Wildtype	903911478	ARID1A	979582957	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000041	GIpairs	Wildtype	1167699490	KLK12	1017672369	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000042	GIpairs	Wildtype	1167699490	KLK12	1017672447	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000043	GIpairs	Wildtype	1167699490	KLK12	1017672326	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000044	GIpairs	Wildtype	1167699490	KLK12	1017712232	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000045	GIpairs	Wildtype	1058273241	CYLC2	1017672369	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000046	GIpairs	Wildtype	1058273241	CYLC2	1017672447	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000047	GIpairs	Wildtype	1058273241	CYLC2	1017672326	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000048	GIpairs	Wildtype	1058273241	CYLC2	1017712232	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000049	GIpairs	Wildtype	979584041	ADAD1	1017672369	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000050	GIpairs	Wildtype	979584041	ADAD1	1017672447	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000051	GIpairs	Wildtype	979584041	ADAD1	1017672326	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000052	GIpairs	Wildtype	979584041	ADAD1	1017712232	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000053	GIpairs	Wildtype	1058273326	CYLC2	1017672369	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000054	GIpairs	Wildtype	1058273326	CYLC2	1017672447	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000055	GIpairs	Wildtype	1058273326	CYLC2	1017672326	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000056	GIpairs	Wildtype	1058273326	CYLC2	1017712232	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000057	GIpairs	Wildtype	1167699476	KLK12	1017672369	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000058	GIpairs	Wildtype	1167699476	KLK12	1017672447	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000059	GIpairs	Wildtype	1167699476	KLK12	1017672326	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000060	GIpairs	Wildtype	1167699476	KLK12	1017712232	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000061	GIpairs	Wildtype	979582957	ADAD1	1017672369	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000062	GIpairs	Wildtype	979582957	ADAD1	1017672447	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000063	GIpairs	Wildtype	979582957	ADAD1	1017672326	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000064	GIpairs	Wildtype	979582957	ADAD1	1017712232	ARID1B	non-essential	unclassified	non-essential + unclassified
DG0000065	GIpairs	Wildtype	1014231326	ASF1A	1162960288	ASF1B	unclassified	unclassified	unclassified + unclassified
DG0000066	GIpairs	Wildtype	1014231326	ASF1A	1162960931	ASF1B	unclassified	unclassified	unclassified + unclassified
DG0000067	GIpairs	Wildtype	1014231326	ASF1A	1162960271	ASF1B	unclassified	unclassified	unclassified + unclassified
DG0000068	GIpairs	Wildtype	1014231326	ASF1A	1162960273	ASF1B	unclassified	unclassified	unclassified + unclassified
DG0000069	GIpairs	Wildtype	1014230185	ASF1A	1162960288	ASF1B	unclassified	unclassified	unclassified + unclassified
DG0000070	GIpairs	Wildtype	1014230185	ASF1A	1162960931	ASF1B	unclassified	unclassified	unclassified + unclassified
DG0000071	GIpairs	Wildtype	1014230185	ASF1A	1162960271	ASF1B	unclassified	unclassified	unclassified + unclassified
DG0000072	GIpairs	Wildtype	1014230185	ASF1A	1162960273	ASF1B	unclassified	unclassified	unclassified + unclassified
DG0000073	GIpairs	Wildtype	1014231333	ASF1A	1162960288	ASF1B	unclassified	unclassified	unclassified + unclassified
DG0000074	GIpairs	Wildtype	1014231333	ASF1A	1162960931	ASF1B	unclassified	unclassified	unclassified + unclassified
DG0000075	GIpairs	Wildtype	1014231333	ASF1A	1162960271	ASF1B	unclassified	unclassified	unclassified + unclassified
DG0000076	GIpairs	Wildtype	1014231333	ASF1A	1162960273	ASF1B	unclassified	unclassified	unclassified + unclassified
DG0000077	GIpairs	Wildtype	1014230901	ASF1A	1162960288	ASF1B	unclassified	unclassified	unclassified + unclassified
DG0000078	GIpairs	Wildtype	1014230901	ASF1A	1162960931	ASF1B	unclassified	unclassified	unclassified + unclassified
DG0000079	GIpairs	Wildtype	1014230901	ASF1A	1162960271	ASF1B	unclassified	unclassified	unclassified + unclassified
DG0000080	GIpairs	Wildtype	1014230901	ASF1A	1162960273	ASF1B	unclassified	unclassified	unclassified + unclassified
DG0000081	GIpairs	Wildtype	1014231326	ASF1A	1167699490	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000082	GIpairs	Wildtype	1014231326	ASF1A	1058273241	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000083	GIpairs	Wildtype	1014231326	ASF1A	979584041	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000084	GIpairs	Wildtype	1014231326	ASF1A	1058273326	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000085	GIpairs	Wildtype	1014231326	ASF1A	1167699476	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000086	GIpairs	Wildtype	1014231326	ASF1A	979582957	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000087	GIpairs	Wildtype	1014230185	ASF1A	1167699490	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000088	GIpairs	Wildtype	1014230185	ASF1A	1058273241	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000089	GIpairs	Wildtype	1014230185	ASF1A	979584041	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000090	GIpairs	Wildtype	1014230185	ASF1A	1058273326	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000091	GIpairs	Wildtype	1014230185	ASF1A	1167699476	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000092	GIpairs	Wildtype	1014230185	ASF1A	979582957	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000093	GIpairs	Wildtype	1014231333	ASF1A	1167699490	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000094	GIpairs	Wildtype	1014231333	ASF1A	1058273241	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000095	GIpairs	Wildtype	1014231333	ASF1A	979584041	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000096	GIpairs	Wildtype	1014231333	ASF1A	1058273326	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000097	GIpairs	Wildtype	1014231333	ASF1A	1167699476	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000098	GIpairs	Wildtype	1014231333	ASF1A	979582957	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000099	GIpairs	Wildtype	1014230901	ASF1A	1167699490	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000100	GIpairs	Wildtype	1014230901	ASF1A	1058273241	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000101	GIpairs	Wildtype	1014230901	ASF1A	979584041	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000102	GIpairs	Wildtype	1014230901	ASF1A	1058273326	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000103	GIpairs	Wildtype	1014230901	ASF1A	1167699476	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000104	GIpairs	Wildtype	1014230901	ASF1A	979582957	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000105	GIpairs	Wildtype	1167699490	KLK12	1162960288	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000106	GIpairs	Wildtype	1167699490	KLK12	1162960931	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000107	GIpairs	Wildtype	1167699490	KLK12	1162960271	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000108	GIpairs	Wildtype	1167699490	KLK12	1162960273	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000109	GIpairs	Wildtype	1058273241	CYLC2	1162960288	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000110	GIpairs	Wildtype	1058273241	CYLC2	1162960931	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000111	GIpairs	Wildtype	1058273241	CYLC2	1162960271	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000112	GIpairs	Wildtype	1058273241	CYLC2	1162960273	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000113	GIpairs	Wildtype	979584041	ADAD1	1162960288	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000114	GIpairs	Wildtype	979584041	ADAD1	1162960931	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000115	GIpairs	Wildtype	979584041	ADAD1	1162960271	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000116	GIpairs	Wildtype	979584041	ADAD1	1162960273	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000117	GIpairs	Wildtype	1058273326	CYLC2	1162960288	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000118	GIpairs	Wildtype	1058273326	CYLC2	1162960931	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000119	GIpairs	Wildtype	1058273326	CYLC2	1162960271	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000120	GIpairs	Wildtype	1058273326	CYLC2	1162960273	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000121	GIpairs	Wildtype	1167699476	KLK12	1162960288	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000122	GIpairs	Wildtype	1167699476	KLK12	1162960931	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000123	GIpairs	Wildtype	1167699476	KLK12	1162960271	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000124	GIpairs	Wildtype	1167699476	KLK12	1162960273	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000125	GIpairs	Wildtype	979582957	ADAD1	1162960288	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000126	GIpairs	Wildtype	979582957	ADAD1	1162960931	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000127	GIpairs	Wildtype	979582957	ADAD1	1162960271	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000128	GIpairs	Wildtype	979582957	ADAD1	1162960273	ASF1B	non-essential	unclassified	non-essential + unclassified
DG0000129	GIpairs	Wildtype	1171994543	BCL2L1	914758331	MCL1	unclassified	unclassified	unclassified + unclassified
DG0000130	GIpairs	Wildtype	1171994543	BCL2L1	914758312	MCL1	unclassified	unclassified	unclassified + unclassified
DG0000131	GIpairs	Wildtype	1171994543	BCL2L1	914758358	MCL1	unclassified	unclassified	unclassified + unclassified
DG0000132	GIpairs	Wildtype	1171994543	BCL2L1	914758316	MCL1	unclassified	unclassified	unclassified + unclassified
DG0000133	GIpairs	Wildtype	1171994567	BCL2L1	914758331	MCL1	unclassified	unclassified	unclassified + unclassified
DG0000134	GIpairs	Wildtype	1171994567	BCL2L1	914758312	MCL1	unclassified	unclassified	unclassified + unclassified
DG0000135	GIpairs	Wildtype	1171994567	BCL2L1	914758358	MCL1	unclassified	unclassified	unclassified + unclassified
DG0000136	GIpairs	Wildtype	1171994567	BCL2L1	914758316	MCL1	unclassified	unclassified	unclassified + unclassified
DG0000137	GIpairs	Wildtype	1171994553	BCL2L1	914758331	MCL1	unclassified	unclassified	unclassified + unclassified
DG0000138	GIpairs	Wildtype	1171994553	BCL2L1	914758312	MCL1	unclassified	unclassified	unclassified + unclassified
DG0000139	GIpairs	Wildtype	1171994553	BCL2L1	914758358	MCL1	unclassified	unclassified	unclassified + unclassified
DG0000140	GIpairs	Wildtype	1171994553	BCL2L1	914758316	MCL1	unclassified	unclassified	unclassified + unclassified
DG0000141	GIpairs	Wildtype	1171994566	BCL2L1	914758331	MCL1	unclassified	unclassified	unclassified + unclassified
DG0000142	GIpairs	Wildtype	1171994566	BCL2L1	914758312	MCL1	unclassified	unclassified	unclassified + unclassified
DG0000143	GIpairs	Wildtype	1171994566	BCL2L1	914758358	MCL1	unclassified	unclassified	unclassified + unclassified
DG0000144	GIpairs	Wildtype	1171994566	BCL2L1	914758316	MCL1	unclassified	unclassified	unclassified + unclassified
DG0000145	GIpairs	Wildtype	1171994543	BCL2L1	1167699490	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000146	GIpairs	Wildtype	1171994543	BCL2L1	1058273241	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000147	GIpairs	Wildtype	1171994543	BCL2L1	979584041	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000148	GIpairs	Wildtype	1171994543	BCL2L1	1058273326	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000149	GIpairs	Wildtype	1171994543	BCL2L1	1167699476	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000150	GIpairs	Wildtype	1171994543	BCL2L1	979582957	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000151	GIpairs	Wildtype	1171994567	BCL2L1	1167699490	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000152	GIpairs	Wildtype	1171994567	BCL2L1	1058273241	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000153	GIpairs	Wildtype	1171994567	BCL2L1	979584041	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000154	GIpairs	Wildtype	1171994567	BCL2L1	1058273326	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000155	GIpairs	Wildtype	1171994567	BCL2L1	1167699476	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000156	GIpairs	Wildtype	1171994567	BCL2L1	979582957	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000157	GIpairs	Wildtype	1171994553	BCL2L1	1167699490	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000158	GIpairs	Wildtype	1171994553	BCL2L1	1058273241	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000159	GIpairs	Wildtype	1171994553	BCL2L1	979584041	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000160	GIpairs	Wildtype	1171994553	BCL2L1	1058273326	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000161	GIpairs	Wildtype	1171994553	BCL2L1	1167699476	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000162	GIpairs	Wildtype	1171994553	BCL2L1	979582957	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000163	GIpairs	Wildtype	1171994566	BCL2L1	1167699490	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000164	GIpairs	Wildtype	1171994566	BCL2L1	1058273241	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000165	GIpairs	Wildtype	1171994566	BCL2L1	979584041	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000166	GIpairs	Wildtype	1171994566	BCL2L1	1058273326	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000167	GIpairs	Wildtype	1171994566	BCL2L1	1167699476	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000168	GIpairs	Wildtype	1171994566	BCL2L1	979582957	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000169	GIpairs	Wildtype	1167699490	KLK12	914758331	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000170	GIpairs	Wildtype	1167699490	KLK12	914758312	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000171	GIpairs	Wildtype	1167699490	KLK12	914758358	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000172	GIpairs	Wildtype	1167699490	KLK12	914758316	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000173	GIpairs	Wildtype	1058273241	CYLC2	914758331	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000174	GIpairs	Wildtype	1058273241	CYLC2	914758312	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000175	GIpairs	Wildtype	1058273241	CYLC2	914758358	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000176	GIpairs	Wildtype	1058273241	CYLC2	914758316	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000177	GIpairs	Wildtype	979584041	ADAD1	914758331	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000178	GIpairs	Wildtype	979584041	ADAD1	914758312	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000179	GIpairs	Wildtype	979584041	ADAD1	914758358	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000180	GIpairs	Wildtype	979584041	ADAD1	914758316	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000181	GIpairs	Wildtype	1058273326	CYLC2	914758331	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000182	GIpairs	Wildtype	1058273326	CYLC2	914758312	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000183	GIpairs	Wildtype	1058273326	CYLC2	914758358	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000184	GIpairs	Wildtype	1058273326	CYLC2	914758316	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000185	GIpairs	Wildtype	1167699476	KLK12	914758331	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000186	GIpairs	Wildtype	1167699476	KLK12	914758312	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000187	GIpairs	Wildtype	1167699476	KLK12	914758358	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000188	GIpairs	Wildtype	1167699476	KLK12	914758316	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000189	GIpairs	Wildtype	979582957	ADAD1	914758331	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000190	GIpairs	Wildtype	979582957	ADAD1	914758312	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000191	GIpairs	Wildtype	979582957	ADAD1	914758358	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000192	GIpairs	Wildtype	979582957	ADAD1	914758316	MCL1	non-essential	unclassified	non-essential + unclassified
DG0000193	GIpairs	Wildtype	1033379492	BRAF	1129326067	CSK	unclassified	unclassified	unclassified + unclassified
DG0000194	GIpairs	Wildtype	1033379492	BRAF	1129325727	CSK	unclassified	unclassified	unclassified + unclassified
DG0000195	GIpairs	Wildtype	1033379492	BRAF	1129326032	CSK	unclassified	unclassified	unclassified + unclassified
DG0000196	GIpairs	Wildtype	1033379492	BRAF	1129326068	CSK	unclassified	unclassified	unclassified + unclassified
DG0000197	GIpairs	Wildtype	1033379562	BRAF	1129326067	CSK	unclassified	unclassified	unclassified + unclassified
DG0000198	GIpairs	Wildtype	1033379562	BRAF	1129325727	CSK	unclassified	unclassified	unclassified + unclassified
DG0000199	GIpairs	Wildtype	1033379562	BRAF	1129326032	CSK	unclassified	unclassified	unclassified + unclassified
DG0000200	GIpairs	Wildtype	1033379562	BRAF	1129326068	CSK	unclassified	unclassified	unclassified + unclassified
DG0000201	GIpairs	Wildtype	1033379490	BRAF	1129326067	CSK	unclassified	unclassified	unclassified + unclassified
DG0000202	GIpairs	Wildtype	1033379490	BRAF	1129325727	CSK	unclassified	unclassified	unclassified + unclassified
DG0000203	GIpairs	Wildtype	1033379490	BRAF	1129326032	CSK	unclassified	unclassified	unclassified + unclassified
DG0000204	GIpairs	Wildtype	1033379490	BRAF	1129326068	CSK	unclassified	unclassified	unclassified + unclassified
DG0000205	GIpairs	Wildtype	1033390638	BRAF	1129326067	CSK	unclassified	unclassified	unclassified + unclassified
DG0000206	GIpairs	Wildtype	1033390638	BRAF	1129325727	CSK	unclassified	unclassified	unclassified + unclassified
DG0000207	GIpairs	Wildtype	1033390638	BRAF	1129326032	CSK	unclassified	unclassified	unclassified + unclassified
DG0000208	GIpairs	Wildtype	1033390638	BRAF	1129326068	CSK	unclassified	unclassified	unclassified + unclassified
DG0000209	GIpairs	Wildtype	1033379492	BRAF	1167699490	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000210	GIpairs	Wildtype	1033379492	BRAF	1058273241	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000211	GIpairs	Wildtype	1033379492	BRAF	979584041	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000212	GIpairs	Wildtype	1033379492	BRAF	1058273326	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000213	GIpairs	Wildtype	1033379492	BRAF	1167699476	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000214	GIpairs	Wildtype	1033379492	BRAF	979582957	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000215	GIpairs	Wildtype	1033379562	BRAF	1167699490	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000216	GIpairs	Wildtype	1033379562	BRAF	1058273241	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000217	GIpairs	Wildtype	1033379562	BRAF	979584041	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000218	GIpairs	Wildtype	1033379562	BRAF	1058273326	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000219	GIpairs	Wildtype	1033379562	BRAF	1167699476	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000220	GIpairs	Wildtype	1033379562	BRAF	979582957	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000221	GIpairs	Wildtype	1033379490	BRAF	1167699490	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000222	GIpairs	Wildtype	1033379490	BRAF	1058273241	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000223	GIpairs	Wildtype	1033379490	BRAF	979584041	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000224	GIpairs	Wildtype	1033379490	BRAF	1058273326	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000225	GIpairs	Wildtype	1033379490	BRAF	1167699476	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000226	GIpairs	Wildtype	1033379490	BRAF	979582957	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000227	GIpairs	Wildtype	1033390638	BRAF	1167699490	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000228	GIpairs	Wildtype	1033390638	BRAF	1058273241	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000229	GIpairs	Wildtype	1033390638	BRAF	979584041	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000230	GIpairs	Wildtype	1033390638	BRAF	1058273326	CYLC2	unclassified	non-essential	unclassified + non-essential
DG0000231	GIpairs	Wildtype	1033390638	BRAF	1167699476	KLK12	unclassified	non-essential	unclassified + non-essential
DG0000232	GIpairs	Wildtype	1033390638	BRAF	979582957	ADAD1	unclassified	non-essential	unclassified + non-essential
DG0000233	GIpairs	Wildtype	1167699490	KLK12	1129326067	CSK	non-essential	unclassified	non-essential + unclassified
DG0000234	GIpairs	Wildtype	1167699490	KLK12	1129325727	CSK	non-essential	unclassified	non-essential + unclassified
DG0000235	GIpairs	Wildtype	1167699490	KLK12	1129326032	CSK	non-essential	unclassified	non-essential + unclassified
