ID	Notes	Scaffold	sgRNA1_ID	Gene1	sgRNA2_ID	Gene2	Gene_Pair	PILOT_100X_D14_R1	PILOT_100X_D14_R2	PILOT_100X_D14_R3	PILOT_100X_D3	PILOT_500X_D14_R1	PILOT_500X_D14_R2	PILOT_500X_D14_R3	PILOT_500X_D3	PILOT_PCR500X_D14_R1	PILOT_PCR500X_D14_R2	PILOT_PCR500X_D14_R3	PILOT_PCR500X_D3	PILOT_Plasmid
DG0000019	GIpairs	Wildtype	903907510	ARID1A	979584041	ADAD1	ARID1A~ADAD1	61	142	133	56	184	106	162	114	92	69	148	65	143
DG0000020	GIpairs	Wildtype	903907510	ARID1A	1058273326	CYLC2	ARID1A~CYLC2	73	128	125	57	134	129	165	78	93	110	114	79	114
DG0000021	GIpairs	Wildtype	903907510	ARID1A	1167699476	KLK12	ARID1A~KLK12	161	89	138	69	197	163	188	128	141	137	146	65	160
DG0000022	GIpairs	Wildtype	903907510	ARID1A	979582957	ADAD1	ARID1A~ADAD1	121	112	197	99	262	189	233	169	209	208	236	118	281
DG0000023	GIpairs	Wildtype	903911503	ARID1A	1167699490	KLK12	ARID1A~KLK12	266	202	392	149	376	313	405	200	267	304	364	197	303
DG0000024	GIpairs	Wildtype	903911503	ARID1A	1058273241	CYLC2	ARID1A~CYLC2	89	127	214	69	237	175	223	119	135	148	230	88	160
DG0000025	GIpairs	Wildtype	903911503	ARID1A	979584041	ADAD1	ARID1A~ADAD1	145	115	114	39	177	143	199	75	135	111	87	73	142
DG0000026	GIpairs	Wildtype	903911503	ARID1A	1058273326	CYLC2	ARID1A~CYLC2	85	119	45	29	113	140	122	54	139	89	114	63	89
DG0000027	GIpairs	Wildtype	903911503	ARID1A	1167699476	KLK12	ARID1A~KLK12	269	152	255	111	334	269	343	197	225	347	268	154	287
DG0000028	GIpairs	Wildtype	903911503	ARID1A	979582957	ADAD1	ARID1A~ADAD1	129	106	95	83	161	89	151	83	64	113	151	54	138
DG0000029	GIpairs	Wildtype	903907422	ARID1A	1167699490	KLK12	ARID1A~KLK12	261	276	362	181	402	247	373	239	280	240	362	197	344
DG0000030	GIpairs	Wildtype	903907422	ARID1A	1058273241	CYLC2	ARID1A~CYLC2	393	224	350	136	538	279	567	228	339	479	334	210	358
DG0000031	GIpairs	Wildtype	903907422	ARID1A	979584041	ADAD1	ARID1A~ADAD1	186	179	178	77	306	150	272	138	297	199	260	127	251
DG0000032	GIpairs	Wildtype	903907422	ARID1A	1058273326	CYLC2	ARID1A~CYLC2	61	95	121	26	75	72	188	51	122	123	106	41	96
DG0000033	GIpairs	Wildtype	903907422	ARID1A	1167699476	KLK12	ARID1A~KLK12	66	96	102	75	181	105	183	110	159	149	146	69	155
DG0000034	GIpairs	Wildtype	903907422	ARID1A	979582957	ADAD1	ARID1A~ADAD1	90	84	149	72	184	100	177	112	135	65	136	80	160
DG0000035	GIpairs	Wildtype	903911478	ARID1A	1167699490	KLK12	ARID1A~KLK12	142	107	140	53	268	230	271	134	288	214	209	86	122
DG0000036	GIpairs	Wildtype	903911478	ARID1A	1058273241	CYLC2	ARID1A~CYLC2	109	146	147	91	225	143	245	116	115	199	220	118	130
DG0000037	GIpairs	Wildtype	903911478	ARID1A	979584041	ADAD1	ARID1A~ADAD1	134	119	95	41	152	96	170	77	104	116	179	86	99
DG0000038	GIpairs	Wildtype	903911478	ARID1A	1058273326	CYLC2	ARID1A~CYLC2	26	42	60	16	58	78	54	22	23	46	57	35	45
DG0000039	GIpairs	Wildtype	903911478	ARID1A	1167699476	KLK12	ARID1A~KLK12	85	133	156	78	186	149	174	101	126	158	172	68	117
DG0000040	GIpairs	Wildtype	903911478	ARID1A	979582957	ADAD1	ARID1A~ADAD1	83	121	83	52	147	118	134	79	102	90	86	77	112
DG0000041	GIpairs	Wildtype	1167699490	KLK12	1017672369	ARID1B	KLK12~ARID1B	196	97	195	75	213	144	190	110	117	218	196	104	177
DG0000042	GIpairs	Wildtype	1167699490	KLK12	1017672447	ARID1B	KLK12~ARID1B	112	91	104	91	193	130	176	131	171	168	161	78	224
DG0000043	GIpairs	Wildtype	1167699490	KLK12	1017672326	ARID1B	KLK12~ARID1B	140	196	235	110	328	235	304	192	219	239	262	98	254
DG0000044	GIpairs	Wildtype	1167699490	KLK12	1017712232	ARID1B	KLK12~ARID1B	43	82	80	33	76	63	78	46	88	49	76	19	71
DG0000045	GIpairs	Wildtype	1058273241	CYLC2	1017672369	ARID1B	CYLC2~ARID1B	114	96	146	62	187	133	204	115	146	183	274	81	146
DG0000046	GIpairs	Wildtype	1058273241	CYLC2	1017672447	ARID1B	CYLC2~ARID1B	59	83	74	35	120	114	135	81	55	103	109	59	124
DG0000047	GIpairs	Wildtype	1058273241	CYLC2	1017672326	ARID1B	CYLC2~ARID1B	241	201	233	149	329	269	332	224	181	235	245	139	271
DG0000048	GIpairs	Wildtype	1058273241	CYLC2	1017712232	ARID1B	CYLC2~ARID1B	63	90	79	28	83	122	90	47	81	88	47	36	72
DG0000049	GIpairs	Wildtype	979584041	ADAD1	1017672369	ARID1B	ADAD1~ARID1B	104	125	121	63	132	100	218	68	142	125	111	32	113
DG0000050	GIpairs	Wildtype	979584041	ADAD1	1017672447	ARID1B	ADAD1~ARID1B	73	71	132	56	158	96	101	95	100	173	155	31	145
DG0000051	GIpairs	Wildtype	979584041	ADAD1	1017672326	ARID1B	ADAD1~ARID1B	84	95	117	66	165	131	194	85	148	148	160	54	128
DG0000052	GIpairs	Wildtype	979584041	ADAD1	1017712232	ARID1B	ADAD1~ARID1B	63	112	66	23	121	115	108	59	100	100	108	31	110
DG0000053	GIpairs	Wildtype	1058273326	CYLC2	1017672369	ARID1B	CYLC2~ARID1B	158	103	259	85	284	223	265	139	249	256	216	104	187
DG0000054	GIpairs	Wildtype	1058273326	CYLC2	1017672447	ARID1B	CYLC2~ARID1B	35	39	87	30	112	50	77	51	52	43	86	33	81
DG0000055	GIpairs	Wildtype	1058273326	CYLC2	1017672326	ARID1B	CYLC2~ARID1B	155	102	174	86	215	168	241	115	187	132	203	90	187
DG0000056	GIpairs	Wildtype	1058273326	CYLC2	1017712232	ARID1B	CYLC2~ARID1B	54	106	79	34	101	87	115	27	77	111	90	36	64
DG0000057	GIpairs	Wildtype	1167699476	KLK12	1017672369	ARID1B	KLK12~ARID1B	265	172	239	137	307	224	349	176	132	233	249	168	254
DG0000058	GIpairs	Wildtype	1167699476	KLK12	1017672447	ARID1B	KLK12~ARID1B	90	61	93	48	131	68	147	80	99	62	135	73	139
DG0000059	GIpairs	Wildtype	1167699476	KLK12	1017672326	ARID1B	KLK12~ARID1B	293	271	289	147	372	307	448	280	277	404	441	200	352
DG0000060	GIpairs	Wildtype	1167699476	KLK12	1017712232	ARID1B	KLK12~ARID1B	21	81	90	21	83	99	68	51	33	45	77	31	70
DG0000061	GIpairs	Wildtype	979582957	ADAD1	1017672369	ARID1B	ADAD1~ARID1B	247	171	265	129	372	253	353	198	155	282	334	210	190
DG0000062	GIpairs	Wildtype	979582957	ADAD1	1017672447	ARID1B	ADAD1~ARID1B	165	114	133	72	169	133	181	134	125	192	151	74	134
DG0000063	GIpairs	Wildtype	979582957	ADAD1	1017672326	ARID1B	ADAD1~ARID1B	166	163	238	102	309	203	289	187	242	175	282	126	198
DG0000064	GIpairs	Wildtype	979582957	ADAD1	1017712232	ARID1B	ADAD1~ARID1B	106	151	139	65	187	197	146	103	97	144	142	88	120
DG0000065	GIpairs	Wildtype	1014231326	ASF1A	1162960288	ASF1B	ASF1A~ASF1B	50	50	66	62	48	31	41	108	40	65	52	91	156
DG0000066	GIpairs	Wildtype	1014231326	ASF1A	1162960931	ASF1B	ASF1A~ASF1B	57	82	97	129	119	94	93	186	105	88	70	165	262
DG0000067	GIpairs	Wildtype	1014231326	ASF1A	1162960271	ASF1B	ASF1A~ASF1B	63	43	70	119	57	34	51	211	58	65	92	137	229
DG0000068	GIpairs	Wildtype	1014231326	ASF1A	1162960273	ASF1B	ASF1A~ASF1B	43	24	40	87	52	29	50	91	11	38	27	96	131
DG0000069	GIpairs	Wildtype	1014230185	ASF1A	1162960288	ASF1B	ASF1A~ASF1B	15	40	48	100	51	29	42	147	45	53	31	152	182
DG0000070	GIpairs	Wildtype	1014230185	ASF1A	1162960931	ASF1B	ASF1A~ASF1B	7	41	29	92	33	20	24	107	44	25	42	92	168
DG0000071	GIpairs	Wildtype	1014230185	ASF1A	1162960271	ASF1B	ASF1A~ASF1B	25	21	34	138	69	41	53	262	45	44	47	210	276
DG0000072	GIpairs	Wildtype	1014230185	ASF1A	1162960273	ASF1B	ASF1A~ASF1B	30	31	28	101	40	28	43	139	20	31	52	140	225
DG0000073	GIpairs	Wildtype	1014231333	ASF1A	1162960288	ASF1B	ASF1A~ASF1B	36	23	28	80	60	10	63	88	20	54	68	99	155
DG0000074	GIpairs	Wildtype	1014231333	ASF1A	1162960931	ASF1B	ASF1A~ASF1B	34	44	15	78	46	41	45	97	23	46	62	87	140
DG0000075	GIpairs	Wildtype	1014231333	ASF1A	1162960271	ASF1B	ASF1A~ASF1B	0	0	0	0	0	0	0	0	0	0	0	0	0
DG0000076	GIpairs	Wildtype	1014231333	ASF1A	1162960273	ASF1B	ASF1A~ASF1B	45	35	46	98	55	33	48	92	20	24	56	100	152
DG0000077	GIpairs	Wildtype	1014230901	ASF1A	1162960288	ASF1B	ASF1A~ASF1B	25	31	45	78	41	25	29	122	18	24	41	99	151
DG0000078	GIpairs	Wildtype	1014230901	ASF1A	1162960931	ASF1B	ASF1A~ASF1B	35	36	33	77	44	44	55	123	37	40	22	157	142
DG0000079	GIpairs	Wildtype	1014230901	ASF1A	1162960271	ASF1B	ASF1A~ASF1B	21	32	17	111	17	26	36	153	4	36	49	124	176
DG0000080	GIpairs	Wildtype	1014230901	ASF1A	1162960273	ASF1B	ASF1A~ASF1B	15	34	33	75	38	29	24	110	21	22	38	85	155
DG0000081	GIpairs	Wildtype	1014231326	ASF1A	1167699490	KLK12	ASF1A~KLK12	204	239	249	126	296	213	281	181	189	269	305	147	227
DG0000082	GIpairs	Wildtype	1014231326	ASF1A	1058273241	CYLC2	ASF1A~CYLC2	86	110	169	100	210	156	241	132	143	207	258	103	148
DG0000083	GIpairs	Wildtype	1014231326	ASF1A	979584041	ADAD1	ASF1A~ADAD1	121	90	79	39	123	102	119	82	96	88	75	57	100
DG0000084	GIpairs	Wildtype	1014231326	ASF1A	1058273326	CYLC2	ASF1A~CYLC2	50	71	97	34	84	95	100	59	72	79	83	42	85
DG0000085	GIpairs	Wildtype	1014231326	ASF1A	1167699476	KLK12	ASF1A~KLK12	197	152	218	109	315	179	297	190	188	188	239	167	268
DG0000086	GIpairs	Wildtype	1014231326	ASF1A	979582957	ADAD1	ASF1A~ADAD1	112	85	93	61	157	93	114	116	112	135	103	89	125
DG0000087	GIpairs	Wildtype	1014230185	ASF1A	1167699490	KLK12	ASF1A~KLK12	238	164	203	137	270	187	308	180	210	275	302	116	231
DG0000088	GIpairs	Wildtype	1014230185	ASF1A	1058273241	CYLC2	ASF1A~CYLC2	75	98	110	69	147	120	174	90	116	102	147	96	107
DG0000089	GIpairs	Wildtype	1014230185	ASF1A	979584041	ADAD1	ASF1A~ADAD1	107	75	130	94	164	120	149	116	117	147	142	95	142
DG0000090	GIpairs	Wildtype	1014230185	ASF1A	1058273326	CYLC2	ASF1A~CYLC2	39	58	65	25	50	74	78	36	23	52	74	44	53
DG0000091	GIpairs	Wildtype	1014230185	ASF1A	1167699476	KLK12	ASF1A~KLK12	173	129	160	77	225	141	201	153	160	177	250	112	212
DG0000092	GIpairs	Wildtype	1014230185	ASF1A	979582957	ADAD1	ASF1A~ADAD1	100	79	115	60	157	104	122	88	98	87	123	82	112
DG0000093	GIpairs	Wildtype	1014231333	ASF1A	1167699490	KLK12	ASF1A~KLK12	212	107	144	116	237	189	222	166	149	218	180	181	173
DG0000094	GIpairs	Wildtype	1014231333	ASF1A	1058273241	CYLC2	ASF1A~CYLC2	142	82	140	69	188	151	174	105	132	138	60	95	153
DG0000095	GIpairs	Wildtype	1014231333	ASF1A	979584041	ADAD1	ASF1A~ADAD1	53	77	59	37	123	87	98	65	58	88	125	63	79
DG0000096	GIpairs	Wildtype	1014231333	ASF1A	1058273326	CYLC2	ASF1A~CYLC2	30	87	40	21	74	78	92	33	74	42	86	47	84
DG0000097	GIpairs	Wildtype	1014231333	ASF1A	1167699476	KLK12	ASF1A~KLK12	133	151	124	89	177	171	180	139	103	167	118	101	167
DG0000098	GIpairs	Wildtype	1014231333	ASF1A	979582957	ADAD1	ASF1A~ADAD1	65	99	100	70	135	103	143	84	118	96	98	52	134
DG0000099	GIpairs	Wildtype	1014230901	ASF1A	1167699490	KLK12	ASF1A~KLK12	129	136	188	114	233	156	214	165	165	197	155	169	180
DG0000100	GIpairs	Wildtype	1014230901	ASF1A	1058273241	CYLC2	ASF1A~CYLC2	180	107	140	94	189	143	184	140	169	209	141	111	135
DG0000101	GIpairs	Wildtype	1014230901	ASF1A	979584041	ADAD1	ASF1A~ADAD1	73	140	114	58	138	98	127	91	95	97	210	69	116
DG0000102	GIpairs	Wildtype	1014230901	ASF1A	1058273326	CYLC2	ASF1A~CYLC2	25	43	60	18	58	80	61	34	43	78	34	35	56
DG0000103	GIpairs	Wildtype	1014230901	ASF1A	1167699476	KLK12	ASF1A~KLK12	82	60	113	72	156	94	168	106	47	100	140	64	119
DG0000104	GIpairs	Wildtype	1014230901	ASF1A	979582957	ADAD1	ASF1A~ADAD1	205	135	145	97	254	119	223	156	125	144	153	132	188
DG0000105	GIpairs	Wildtype	1167699490	KLK12	1162960288	ASF1B	KLK12~ASF1B	69	108	181	76	160	155	128	150	129	132	96	102	163
DG0000106	GIpairs	Wildtype	1167699490	KLK12	1162960931	ASF1B	KLK12~ASF1B	216	134	126	86	201	155	226	143	142	183	257	147	188
DG0000107	GIpairs	Wildtype	1167699490	KLK12	1162960271	ASF1B	KLK12~ASF1B	63	50	89	45	151	116	150	102	67	122	117	100	126
DG0000108	GIpairs	Wildtype	1167699490	KLK12	1162960273	ASF1B	KLK12~ASF1B	76	84	70	75	153	94	141	97	83	72	132	59	124
DG0000109	GIpairs	Wildtype	1058273241	CYLC2	1162960288	ASF1B	CYLC2~ASF1B	84	98	89	56	135	133	90	114	34	114	146	109	118
DG0000110	GIpairs	Wildtype	1058273241	CYLC2	1162960931	ASF1B	CYLC2~ASF1B	128	107	96	71	144	108	148	94	126	111	125	82	139
DG0000111	GIpairs	Wildtype	1058273241	CYLC2	1162960271	ASF1B	CYLC2~ASF1B	181	121	196	105	203	195	276	158	169	205	203	140	221
DG0000112	GIpairs	Wildtype	1058273241	CYLC2	1162960273	ASF1B	CYLC2~ASF1B	78	54	74	53	119	108	118	91	100	100	165	61	109
DG0000113	GIpairs	Wildtype	979584041	ADAD1	1162960288	ASF1B	ADAD1~ASF1B	80	91	104	69	156	158	143	107	108	152	184	80	131
DG0000114	GIpairs	Wildtype	979584041	ADAD1	1162960931	ASF1B	ADAD1~ASF1B	156	121	209	82	229	186	195	143	157	258	180	114	185
DG0000115	GIpairs	Wildtype	979584041	ADAD1	1162960271	ASF1B	ADAD1~ASF1B	66	31	82	50	186	122	94	91	87	108	77	77	108
DG0000116	GIpairs	Wildtype	979584041	ADAD1	1162960273	ASF1B	ADAD1~ASF1B	82	51	120	23	93	65	115	79	55	147	131	37	82
DG0000117	GIpairs	Wildtype	1058273326	CYLC2	1162960288	ASF1B	CYLC2~ASF1B	128	129	129	73	227	178	179	124	167	195	221	143	170
DG0000118	GIpairs	Wildtype	1058273326	CYLC2	1162960931	ASF1B	CYLC2~ASF1B	140	89	98	88	233	152	208	130	161	161	180	89	172
DG0000119	GIpairs	Wildtype	1058273326	CYLC2	1162960271	ASF1B	CYLC2~ASF1B	161	74	143	76	198	148	219	150	174	158	137	157	177
DG0000120	GIpairs	Wildtype	1058273326	CYLC2	1162960273	ASF1B	CYLC2~ASF1B	215	155	132	84	221	149	209	104	140	118	137	121	159
DG0000121	GIpairs	Wildtype	1167699476	KLK12	1162960288	ASF1B	KLK12~ASF1B	107	111	115	89	183	148	135	135	90	116	162	102	156
DG0000122	GIpairs	Wildtype	1167699476	KLK12	1162960931	ASF1B	KLK12~ASF1B	230	200	174	125	322	285	241	212	211	187	296	200	287
DG0000123	GIpairs	Wildtype	1167699476	KLK12	1162960271	ASF1B	KLK12~ASF1B	128	86	121	99	202	125	154	142	96	148	201	100	163
DG0000124	GIpairs	Wildtype	1167699476	KLK12	1162960273	ASF1B	KLK12~ASF1B	83	110	108	46	124	77	121	95	111	111	164	82	106
DG0000125	GIpairs	Wildtype	979582957	ADAD1	1162960288	ASF1B	ADAD1~ASF1B	222	160	168	139	286	198	286	217	198	212	255	198	219
DG0000126	GIpairs	Wildtype	979582957	ADAD1	1162960931	ASF1B	ADAD1~ASF1B	163	158	186	86	222	231	202	156	181	244	155	90	176
DG0000127	GIpairs	Wildtype	979582957	ADAD1	1162960271	ASF1B	ADAD1~ASF1B	164	142	152	123	256	184	241	166	109	153	196	146	164
DG0000128	GIpairs	Wildtype	979582957	ADAD1	1162960273	ASF1B	ADAD1~ASF1B	181	150	126	69	183	152	202	143	146	168	211	107	148
DG0000129	GIpairs	Wildtype	1171994543	BCL2L1	914758331	MCL1	BCL2L1~MCL1	108	73	64	81	81	53	91	131	95	48	53	170	223
DG0000130	GIpairs	Wildtype	1171994543	BCL2L1	914758312	MCL1	BCL2L1~MCL1	20	41	27	39	34	22	28	63	26	39	38	79	325
DG0000131	GIpairs	Wildtype	1171994543	BCL2L1	914758358	MCL1	BCL2L1~MCL1	44	18	48	42	16	32	18	54	41	39	17	65	109
DG0000132	GIpairs	Wildtype	1171994543	BCL2L1	914758316	MCL1	BCL2L1~MCL1	37	19	29	44	37	51	38	57	16	33	38	54	132
DG0000133	GIpairs	Wildtype	1171994567	BCL2L1	914758331	MCL1	BCL2L1~MCL1	27	53	54	120	74	33	53	122	32	42	38	106	196
DG0000134	GIpairs	Wildtype	1171994567	BCL2L1	914758312	MCL1	BCL2L1~MCL1	27	1	49	22	23	18	20	53	20	3	42	29	263
DG0000135	GIpairs	Wildtype	1171994567	BCL2L1	914758358	MCL1	BCL2L1~MCL1	35	32	28	56	38	29	26	75	28	27	45	61	144
DG0000136	GIpairs	Wildtype	1171994567	BCL2L1	914758316	MCL1	BCL2L1~MCL1	19	24	15	40	29	23	37	46	19	22	49	22	99
DG0000137	GIpairs	Wildtype	1171994553	BCL2L1	914758331	MCL1	BCL2L1~MCL1	30	56	48	58	41	42	44	82	42	40	73	83	134
DG0000138	GIpairs	Wildtype	1171994553	BCL2L1	914758312	MCL1	BCL2L1~MCL1	23	4	1	12	10	10	8	27	12	4	5	23	188
DG0000139	GIpairs	Wildtype	1171994553	BCL2L1	914758358	MCL1	BCL2L1~MCL1	16	20	14	61	30	12	42	94	17	41	14	83	150
DG0000140	GIpairs	Wildtype	1171994553	BCL2L1	914758316	MCL1	BCL2L1~MCL1	31	23	22	32	26	11	49	67	3	17	21	62	125
DG0000141	GIpairs	Wildtype	1171994566	BCL2L1	914758331	MCL1	BCL2L1~MCL1	43	43	44	109	99	66	58	145	58	90	144	92	200
DG0000142	GIpairs	Wildtype	1171994566	BCL2L1	914758312	MCL1	BCL2L1~MCL1	0	5	8	39	28	20	30	58	16	6	30	62	248
DG0000143	GIpairs	Wildtype	1171994566	BCL2L1	914758358	MCL1	BCL2L1~MCL1	57	56	41	113	56	59	50	148	49	48	51	120	231
DG0000144	GIpairs	Wildtype	1171994566	BCL2L1	914758316	MCL1	BCL2L1~MCL1	22	28	29	36	25	32	28	33	14	26	16	44	110
DG0000145	GIpairs	Wildtype	1171994543	BCL2L1	1167699490	KLK12	BCL2L1~KLK12	262	130	183	204	267	203	339	252	177	209	332	244	325
DG0000146	GIpairs	Wildtype	1171994543	BCL2L1	1058273241	CYLC2	BCL2L1~CYLC2	72	97	68	81	121	90	120	131	59	74	114	125	137
DG0000147	GIpairs	Wildtype	1171994543	BCL2L1	979584041	ADAD1	BCL2L1~ADAD1	79	76	82	84	156	121	147	182	106	81	95	125	219
DG0000148	GIpairs	Wildtype	1171994543	BCL2L1	1058273326	CYLC2	BCL2L1~CYLC2	35	46	43	32	73	55	71	51	27	44	50	69	87
DG0000149	GIpairs	Wildtype	1171994543	BCL2L1	1167699476	KLK12	BCL2L1~KLK12	68	75	49	101	133	85	115	167	74	141	91	150	190
DG0000150	GIpairs	Wildtype	1171994543	BCL2L1	979582957	ADAD1	BCL2L1~ADAD1	53	69	64	58	105	72	124	89	92	81	123	126	165
DG0000151	GIpairs	Wildtype	1171994567	BCL2L1	1167699490	KLK12	BCL2L1~KLK12	129	117	178	180	254	159	251	307	166	146	235	211	295
DG0000152	GIpairs	Wildtype	1171994567	BCL2L1	1058273241	CYLC2	BCL2L1~CYLC2	41	68	66	71	120	51	114	133	59	83	78	144	147
DG0000153	GIpairs	Wildtype	1171994567	BCL2L1	979584041	ADAD1	BCL2L1~ADAD1	41	43	89	60	99	56	93	92	52	30	83	52	124
DG0000154	GIpairs	Wildtype	1171994567	BCL2L1	1058273326	CYLC2	BCL2L1~CYLC2	48	46	44	36	47	62	60	70	30	40	50	58	85
DG0000155	GIpairs	Wildtype	1171994567	BCL2L1	1167699476	KLK12	BCL2L1~KLK12	41	69	63	74	75	47	129	131	54	96	122	92	135
DG0000156	GIpairs	Wildtype	1171994567	BCL2L1	979582957	ADAD1	BCL2L1~ADAD1	57	78	117	94	133	83	126	130	85	105	129	96	187
DG0000157	GIpairs	Wildtype	1171994553	BCL2L1	1167699490	KLK12	BCL2L1~KLK12	40	51	29	54	65	46	91	69	37	60	59	74	85
DG0000158	GIpairs	Wildtype	1171994553	BCL2L1	1058273241	CYLC2	BCL2L1~CYLC2	83	70	73	100	127	74	131	142	73	71	82	117	189
DG0000159	GIpairs	Wildtype	1171994553	BCL2L1	979584041	ADAD1	BCL2L1~ADAD1	22	24	6	61	49	37	55	77	40	46	106	72	98
DG0000160	GIpairs	Wildtype	1171994553	BCL2L1	1058273326	CYLC2	BCL2L1~CYLC2	6	13	16	29	29	20	24	28	28	33	29	54	60
DG0000161	GIpairs	Wildtype	1171994553	BCL2L1	1167699476	KLK12	BCL2L1~KLK12	40	44	31	85	67	64	90	126	66	77	81	104	138
DG0000162	GIpairs	Wildtype	1171994553	BCL2L1	979582957	ADAD1	BCL2L1~ADAD1	64	50	71	87	108	68	75	113	54	88	80	95	194
DG0000163	GIpairs	Wildtype	1171994566	BCL2L1	1167699490	KLK12	BCL2L1~KLK12	82	86	108	122	175	110	141	212	158	146	191	139	207
DG0000164	GIpairs	Wildtype	1171994566	BCL2L1	1058273241	CYLC2	BCL2L1~CYLC2	40	71	94	126	138	76	149	156	65	140	57	155	148
DG0000165	GIpairs	Wildtype	1171994566	BCL2L1	979584041	ADAD1	BCL2L1~ADAD1	105	68	42	74	113	100	161	129	71	157	111	112	151
DG0000166	GIpairs	Wildtype	1171994566	BCL2L1	1058273326	CYLC2	BCL2L1~CYLC2	23	53	18	29	52	78	65	37	38	71	34	52	70
DG0000167	GIpairs	Wildtype	1171994566	BCL2L1	1167699476	KLK12	BCL2L1~KLK12	86	62	74	94	135	100	174	211	94	119	155	148	187
DG0000168	GIpairs	Wildtype	1171994566	BCL2L1	979582957	ADAD1	BCL2L1~ADAD1	43	30	59	43	63	70	109	105	41	70	67	64	124
DG0000169	GIpairs	Wildtype	1167699490	KLK12	914758331	MCL1	KLK12~MCL1	132	157	222	135	289	219	290	150	213	220	265	161	227
DG0000170	GIpairs	Wildtype	1167699490	KLK12	914758312	MCL1	KLK12~MCL1	84	38	65	51	100	67	81	65	29	51	85	39	202
DG0000171	GIpairs	Wildtype	1167699490	KLK12	914758358	MCL1	KLK12~MCL1	71	76	142	73	119	106	118	97	84	101	100	87	118
DG0000172	GIpairs	Wildtype	1167699490	KLK12	914758316	MCL1	KLK12~MCL1	58	71	104	40	103	103	120	66	49	74	120	41	107
DG0000173	GIpairs	Wildtype	1058273241	CYLC2	914758331	MCL1	CYLC2~MCL1	245	260	246	139	423	270	319	193	271	235	264	183	265
DG0000174	GIpairs	Wildtype	1058273241	CYLC2	914758312	MCL1	CYLC2~MCL1	44	64	36	37	68	34	38	31	73	58	34	28	127
DG0000175	GIpairs	Wildtype	1058273241	CYLC2	914758358	MCL1	CYLC2~MCL1	72	56	117	56	156	82	91	81	61	54	149	75	106
